NUMMER;BILDNR;FOTOGRAF;COPYRIGHT;
00005;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00007;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00007;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00012;0001;;© Kt.  Denkmalpflege Aarau;
00023;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00023;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00028;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00028;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00028;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00028;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00028;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00031;0001;Thomas Bitterli;;
00034;0001;;©  Archiv Bauernhausforschung Zug;
00037;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00043;0003; ;© Büro ADB  ;
00044;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00046;0001; ;© Büro ADB  ;
00046;0003; ;© Büro ADB  ;
00046;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00046;0006;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00047;0002;;© Kt.  Denkmalpflege Aargau;
00047;0003;;© Kt.  Denkmalpflege Aargau;
00048;0002;;© Kt.  Denkmalpflege Aargau;
00048;0003;;© Kt.  Denkmalpflege Aargau;
00064;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00064;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00064;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00064;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00064;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00071;0002; ;© Büro ADB  ;
00071;0006; ;© Büro ADB  ;
00071;0007;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00076;0001; ;© Büro ADB  ;
00076;0008; ;© Büro ADB  ;
00076;0009; ;© Büro ADB  ;
00076;0013;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00080;0001; ;© Büro ADB  ;
00080;0002; ;© Büro ADB  ;
00084;0001; ;© Büro ADB  ;
00087;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00087;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00087;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00092;0008;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00092;0009;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00094;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00094;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00094;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00094;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00101;0001; ;© Büro ADB  ;
00101;0011; ;© Büro ADB  ;
00101;0012; ;© Büro ADB  ;
00101;0013; ;© Büro ADB  ;
00103;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00103;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00103;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00103;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00104;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00104;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00111;0001;;©  Archiv Bauernhausforschung Zug;
00111;0002;;©  Archiv Bauernhausforschung Zug;
00117;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00117;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00117;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00117;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00117;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00123;0001;;© Kt.  Denkmalpflege Aargau;
00123;0003;;© Kt.  Denkmalpflege Aargau;
00123;0004;;© Kt.  Denkmalpflege Aargau;
00125;0004; ;© Büro ADB  ;
00125;0005; ;© Büro ADB  ;
00125;0006; ;© Büro ADB  ;
00133;0006;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00133;0007;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00136;0001;;© Kt.  Denkmalpflege Aargau;
00136;0002;;© Kt.  Denkmalpflege Aargau;
00137;0006;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00137;0007;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00140;0001;;© Kt.  Denkmalpflege Aargau;
00140;0004;;© Kt.  Denkmalpflege Aargau;
00140;0008;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00156;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00156;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00156;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00159;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00159;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00165;0004;Markus Fischer;;
00177;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00177;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00177;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00182;0001; ;© Büro ADB  ;
00182;0007; ;© Büro ADB  ;
00182;0008; ;© Büro ADB  ;
00184;0001; ;© Büro ADB  ;
00184;0003; ;© Büro ADB  ;
00184;0004; ;© Büro ADB  ;
00184;0005; ;© Büro ADB  ;
00189;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00194;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00194;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00194;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00194;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00194;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00201;0002;;©  Archiv Bauernhausforschung Zug;
00202;0001; ;© Büro ADB  ;
00202;0003; ;© Büro ADB  ;
00202;0007; ;© Büro ADB  ;
00214;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00247;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00247;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00247;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00252;0002;;© Kt.  Denkmalpflege Aargau;
00252;0007;;© Kt.  Denkmalpflege Aargau;
00261;0006;;© Kt.  Denkmalpflege Aargau;
00261;0007;;© Kt.  Denkmalpflege Aargau;
00261;0009;;© Kt.  Denkmalpflege Aargau;
00281;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00284;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00284;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00284;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00284;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00284;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00285;0001;;© Kt.  Denkmalpflege Aargau;
00285;0005;;© Kt.  Denkmalpflege Aargau;
00285;0009;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00285;0010;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00295;0010;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00305;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00305;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00305;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00307;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00308;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
